sid|list|delist|list_entry|delist_entry
55422|19970612|20140605.0||
24370|20100202|20150521.0||
27269|20110826|||
47750|19940425|||
25247|20100526|||
27247|20140910|||
36230|20150424|||
776580|20171205|||
25732|20100827|||
30164|20141031|||
57133|19990927|20240710.0||20240704.0
57068|20070515|||
30343|20140121|||
24903|20100610|||
36526|20151231|||
846775|20171212|||
245018|20170113|||
21191|20090818|||
238997|20160603|||
57488|19990401|||
522074|20170725|||
245297|20170117|||
20470|20071101|||
21937561|20180403|||
429788|20170714|||
15340|20040312|||
24371|20100318|||
58645|20000630|||
553111|20170928|||
25955|20100915|||
23868|20100112|||
56031|19970626|||
28562|20120608|||
54583|19961129|||
35921|20150123|||
15535|20040514|||
35934|20150515|||
25111|20100706|||
26561|20101207|||
59788|20010827|||
58868|20000901|||
587222|20171023|||
421083|20170627|||
27536|20110311|||
51064|19961226|||
20781|20071221|||
18697|20061116|||
29240|20120523|||
266493|20170313|||
26339|20110225|||
56858|19980626|||
24529|20100211|||
24608|20100416|||
589025|20171109|||
23411|20091030|||
24095|20150323|||
55322|19970425|||
56768|19980416|20230706.0||20230706.0
55458|19970626|||
24364|20100312|||
13643|20020709|||
56983|19981111|||
27867|20110808|||
54609|19961205|20230714.0||20230713.0
17473|20100318|||
47477|19931101|||
26467|20101125|||
55516|19970728|||
54253|19960726|||
57422|19981224|||
24590|20100128|||
24285|20100108|20220630.0||20220630.0
45066465|20200622|||
54372|19960828|||
55343|19970506|||
55502|19970718|||
54579|19961128|||
54005|19960606|||
55279|19970408|||
35987|20150610|||
54147|19960718|||
239274|20160530|||
26372|20110316|||
47751|19940425|||
58478|20000622|||
47793|19940224|||
18979|20080201|||
240542|20160726|||
28934|20111125|||
27996|20110622|||
30068|20150216|||
22642318|20180508|||
23460144|20180612|||
266630|20170328|||
23737|20100121|||
54562|19961121|||
35384|20140127|||
20476|20071116|||
27398|20120216|||
421682|20170608|||
975606|20180223|||
13763|20020805|||
242853|20161025|||
585095|20171030|||
244030|20161213|||
59105|20001130|||
419842|20170526|||
27435|20140121|||
57396|19981218|||
13742|20020730|||
48896|19940701|||
24948|20100618|||
27306|20110421|||
239225|20160608|||
239827|20160629|||
53273|19960308|||
23610|20091211|||
429787|20170717|||
55088|19970130|||
36011|20160310|||
13169|20020205|||
267561|20170417|||
266556|20170323|||
56364|19971118|||
243448|20161116|||
23402|20120927|||
419844|20170519|||
585088|20171017|||
14666|20030801|||
21760|20080723|||
55388|19970528|||
15783|20040713|||
13656|20020711|||
936418|20180103|||
17587|20071120|||
26463|20101123|||
19878|20070613|||
245415|20170209|||
59777|20010903|||
26612|20101224|||
22090|20100303|||
20097|20070817|||
414310|20170426|||
27433|20140801|||
245353|20170208|||
26325|20101125|||
569639|20171020|||
26816|20110201|||
55552|19970807|||
24760|20100326|20220627.0||20220627.0
241070|20160812|||
53700|19960802|||
57567|19990611|||
25005|20100625|||
24414|20100120|||
47335|19901219|||
47513|19931215|||
13749|20020806|||
16862|20050526|||
47483|19931126|||
47309|19920616|20200107.0||
27420|20120605|20191127.0||
23420|20090903|||
27286|20120801|||
29633|20120612|20220627.0||20220627.0
241523|20160908|||
56823|19980602|||
14683|20030807|20210601.0||
59350|20010212|20230606.0||20230531.0
58936|20001018|||
24591|20100128|||
19968|20070629|||
55383|19970526|||
52445158|20201028|||
58999|20001116|20240828.0||20240822.0
39753|20151222|20220524.0||20220518.0
55456|19970625|||
24905|20100810|||
23337|20091111|||
21596|20080806|||
418670|20170523|||
30058|20120912|||
14446|20030516|||
243633|20161122|||
36442|20150319|||
30882|20140822|||
20233|20070913|||
25684|20100820|||
621756|20171117|||
24866|20100608|||
24353|20100120|||
15635|20040608|||
20086|20070817|||
27402|20110712|||
27422|20120920|||
55356|19970516|||
27224|20111028|||
243588|20161118|||
27375|20150528|||
245011|20170103|||
242483|20161014|||
27537|20110317|||
36506|20150217|||
27267|20111205|||
13891|20020927|||
550896|20170921|||
245352|20170207|||
35889|20151222|20230705.0||20230705.0
20157|20070803|||
27302|20150611|||
27992|20160106|||
245331|20170207|||
18741|20061124|||
423468|20170615|||
243878|20161209|||
30537|20140626|||
19762|20111212|||
56499|19980212|||
19436|20070406|||
20205|20070821|||
29241893|20190201|||
58648|20000630|||
28631|20120411|||
18748|20061201|||
27786|20110530|||
19043|20070110|||
25233611|20180910|||
47391|19930924|||
14586|20030710|||
27892|20110608|||
21079|20080123|||
239939|20160705|||
15614|20040602|||
29808|20120619|||
59125|20001128|||
16904|20050607|||
22092|20090821|||
13511|20020523|||
28888|20111229|||
57217|20000309|||
47362|19930407|||
18373|20061025|||
25745|20100910|||
54636|19961218|||
18596|20061128|||
55255|19970619|||
15851|20040727|||
47759|19940202|||
47358|19930316|||
27319|20120801|||
56060|19970904|||
14540|20030626|||
54405|19960913|||
54326|19960816|||
47346|19921203|||
22089|20090821|||
55008|19980225|||
54596|19961203|||
56030|19970626|20130208.0||
56033|19991125|||
47370|19901219|||
18574|20061018|||
28529|20111103|||
27747|20110422|||
47450|19921123|20220627.0||20220627.0
14799|20031009|||
59298|20010111|||
25833|20101013|||
24327|20100108|||
25576|20110201|||
29655|20141107|||
56825|19980602|||
54437|19961004|20230706.0||20230706.0
20353|20070925|||
59352|20010312|||
958366|20180202|||
15827|20040721|||
27288|20120706|||
244322|20161221|||
942730|20180115|||
23401|20091030|||
36311|20150528|||
36254|20150519|||
21972|20080811|||
56387|19971203|||
27380|20120530|||
35891|20150320|||
27289|20150126|||
266537|20170323|||
26886|20110412|||
266107|20170328|||
242830|20161116|||
57551|19990603|||
55253|20010112|||
28887|20111115|||
23665|20091030|||
26942|20110222|||
243943|20161206|||
617112|20171120|||
18383|20060816|||
27290|20141105|||
25351188|20180917|||
241163|20160905|||
24408|20100323|||
29638|20140731|||
30447|20150527|||
29093|20150513|||
588261|20171025|||
28349|20120113|||
244943|20170113|||
16642|20050203|||
23726|20091030|||
22810636|20180517|||
27276|20120521|||
27145|20150423|||
15737|20040629|||
24451918|20180730|||
238621|20160511|||
266490|20170320|||
58817|20000731|||
28260|20141104|||
35918|20150128|||
28561|20150519|||
54554|19961120|||
26716|20110113|||
25296|20100908|||
244944|20170112|||
58752|20000818|||
57433|19990107|||
539954|20170913|||
36041|20150527|||
617113|20171122|||
22422|20110518|||
20046|20070719|||
56767|19980420|||
29576|20120612|||
28654|20150217|||
22087|20090811|||
243992|20161208|||
35865|20150422|||
35950|20151222|||
29914|20140129|||
24499|20100211|||
25152|20110706|||
59806|20010906|||
23544|20091203|||
39814799|20200123|||
47506|19940103|||
47359|19930326|||
15741|20040630|||
53689|19960702|||
26104|20101026|||
15760|20040705|20230317.0||20230317.0
18256|20070720|||
57805|20071212|||
14812|20030930|||
56835|19990727|||
47338|19920327|||
27403|20141030|||
54658|19961225|||
54526|19961112|||
56829|19980605|||
55514|19970725|||
57739|20000720|||
24959|20100618|20240815.0||20240815.0
426647|20170630|||
56038|19970627|||
26581|20101222|||
27421|20110810|||
24070|20091225|||
15794|20040714|||
26166|20111220|||
243225|20161129|||
51065|19960328|||
47390|19930924|||
54465|19961023|||
50207|19950320|||
57115|19991021|||
243586|20161117|||
24592|20100128|||
56309|19971008|||
266035|20170324|||
242350|20161012|||
266968|20170407|||
27762|20110426|||
776586|20171201|||
55266|19980115|||
26610|20110107|||
14595|20030711|||
551171|20170921|||
975602|20180206|||
244798|20170105|||
19020|20070126|||
244651|20161220|||
12934|20011225|||
25366|20100708|||
16815|20050510|||
245543|20170213|||
27926|20110531|||
426334|20170629|||
28995|20111222|||
417552|20170517|||
415204|20170505|||
266056|20170327|||
243990|20161208|||
415024|20170503|||
55491|19970716|||
58815|20000731|20220614.0||20220614.0
27099887|20181116|||
18795|20061222|||
243704|20161125|||
27065|20160308|||
938192|20180105|||
24453|20111123|||
21964|20080919|||
19012|20120309|||
243877|20170117|||
243262|20161107|||
47285|19930504|||
20797|20071203|||
55346|19970508|||
26057|20100929|||
25285|20100720|||
36103|20160324|||
30113|20140128|||
21531|20080516|||
59264|20001229|||
26042|20101102|||
24298|20141203|||
14647|20030725|||
585092|20171018|||
950803|20180118|||
19301|20070215|||
25550|20100831|||
242452|20161012|||
57740|20000511|||
59807|20010829|||
27423|20150611|||
15981|20040830|||
55323|19970428|||
46849056|20200812|||
59416|20010326|||
243050|20161101|||
240831|20160805|||
47765|19940106|||
18720|20061130|20240418.0||20240418.0
13952|20021031|20230628.0||20230620.0
58123|20000120|||
57880|19990623|||
54733|19960925|||
47511|19931130|||
21599|20080523|||
15495|20040428|||
47459|19930518|20180718.0||
28215|20110810|||
28356|20120731|||
30717|20141009|||
25812|20110412|||
47788|19940224|||
53272|19960318|20220621.0||20220621.0
26210|20101109|20230418.0||20230418.0
23529|20091229|20150520.0||
54661|19961225|||
53518|19960418|||
47489|19931123|||
25243|20101224|||
28470|20150514|||
59417|20010309|||
58582|20000601|||
27152|20110302|||
26503|20101215|||
266837|20170329|||
21219|20080425|||
244799|20170105|||
24754|20100303|||
30169|20160425|||
25350|20100818|||
420103|20170616|||
22185|20091021|||
25284|20100810|||
614688|20171031|||
56452|19980107|||
56716|19980311|||
24630|20100518|||
16691|20151209|||
540538|20170915|||
244848|20170109|||
27258|20120619|20230524.0||20230524.0
19627|20070418|||
30213|20141111|||
36015|20151231|||
24498|20110916|||
18502|20060928|||
241391|20160822|||
428596|20170711|||
57438|20020329|||
58814|20000731|||
238944|20160530|||
27978|20110621|||
24759|20100421|||
245057|20170119|||
58172|20000301|||
56318|19971021|||
30715|20140128|||
25156|20101102|||
245780|20170217|||
54738|19960926|||
28594|20120308|||
35923|20150515|||
19972|20070712|||
428376|20170711|||
27308|20140122|||
242794|20161021|||
238825|20160517|||
55060|19970806|||
36229|20150424|||
240975|20160809|||
266782|20170324|||
267851|20170418|||
776582|20171201|||
20934|20071226|||
27413|20150319|||
29790|20140910|||
24599|20100429|||
54185|19961126|||
240694|20160728|||
23126731|20180528|||
21142|20080128|||
245016|20170113|||
27441|20150424|||
27154|20110415|||
20300|20071116|||
14078|20021219|||
27412|20150611|||
54789|19961022|||
54478|19961029|||
27431|20110318|||
23829|20091218|||
47429|19910403|||
30266|20120927|||
25164|20100806|||
59576|20010608|||
54619|19961210|||
24757|20100601|||
55378|19970616|||
56043|19970703|||
47389|19930917|||
23565|20091203|||
56280|19970929|20240812.0||20240812.0
47784|19940204|20240614.0||20240611.0
47410|19931028|||
46784588|20200810|||
56933|19980911|||
47484|19931210|||
55098|19961115|20230629.0||20230621.0
20883|20071207|||
47301|19940311|||
59120|20001106|20240116.0||20240110.0
938669|20180109|||
45353|19931028|||
30828|20141030|||
59791|20010828|||
54634|19961218|20230816.0||20230815.0
54148|19960716|||
55426|19970611|||
28545|20110906|||
430362|20170719|||
26486130|20181019|||
59622|20010618|||
13821|20020828|||
26105|20101026|||
25857|20120718|||
13630|20020703|||
18850|20061229|||
20475|20071113|||
35887|20150226|||
16608|20070919|||
244715|20170105|||
59313|20010208|||
55196|19970410|||
29598|20150422|||
54585|19961218|||
23736|20091216|||
24136|20100203|||
239759|20160628|||
35994|20141230|||
26653|20110118|||
23399|20100902|||
24641|20100319|||
25295|20110215|||
24296|20100210|||
56997|19981224|||
15297|20040421|||
55091|19970121|||
13932|20021024|||
30267|20141209|||
850428|20171219|||
55334|19970430|||
244797|20170105|||
27440|20150424|||
47726|19940408|||
503823|20170721|||
414309|20170425|||
36464|20150319|||
57081|19990727|||
29372209|20190130|||
523757|20170731|||
244069|20161213|||
58286|20020926|||
425609|20170627|||
244510|20161227|||
25138282|20180903|||
24632|20100525|||
976920|20180302|||
23620|20091216|||
28116|20110707|||
266684|20170324|||
59236|20001222|||
19143|20070302|||
537397|20170905|||
58566|20000608|||
41325|20151204|||
15293|20040225|||
16019|20040908|||
20096|20070808|20220623.0||20220623.0
56776|19980427|||
57824|19990803|||
14558|20030704|||
238445|20160506|||
28860|20111208|||
35982|20150319|||
55305|19970415|||
18872|20061229|||
47427|19931206|||
55093|19970120|||
25411|20101229|||
20105|20070810|||
47797|19940224|||
47341|19920724|||
45858|19940106|||
27047|20110715|||
56806|19980520|||
47386|19930728|||
55145|19970218|||
27150|20110302|||
57016|20000529|||
56378|19971125|||
48174|19940525|||
57549|19990422|||
47424|19931206|||
20047|20070803|||
57550|19990618|||
56058|19970416|||
36400|20150529|||
53424|19960312|||
23404|20150515|||
53695|19960626|||
55351|19970509|||
59779|20010807|||
244511|20161223|||
28156|20110707|||
19304|20070208|||
430125|20170718|||
245418|20170123|||
18338|20060802|||
525174|20170802|||
55092|19970121|||
27265|20111125|||
23352076|20180410|||
47295|19940404|||
36007|20150610|||
245017|20170113|||
56901|19980807|||
585552|20171031|||
29779|20150610|||
57452|19990415|||
55384|20001120|||
239584|20160624|||
24935|20100610|||
29791|20120817|||
30007|20140219|||
23415|20150424|||
23460148|20180613|||
26502|20101203|||
239287|20160615|||
21222|20080306|||
21093|20071228|||
36310|20160427|||
266054|20170306|||
29564|20120612|||
59425|20010315|||
47449|19921120|||
13781|20020815|||
20104|20070810|||
239987|20160705|||
19914|20100603|||
13394|20021107|||
239164|20160607|||
240793|20160802|||
22159|20090929|||
28996|20111220|||
28474|20150630|||
28573|20120710|||
619705|20171127|||
418373|20170522|||
