sid|list|delist|list_entry|delist_entry
000001.SZ|19910403|||
000002.SZ|19910129|||
000003.SZ|19910703|20020614||
000004.SZ|19901201||19910114|
000005.SZ|19901210|20240426||20240426
000006.SZ|19920427|||
000007.SZ|19920413|||
000008.SZ|19920507|||
000009.SZ|19910625|||
000010.SZ|19951027|||
000011.SZ|19920330|||
000012.SZ|19920228|||
000013.SZ|19920506|20040920||
000014.SZ|19920602|||
000015.SZ|19920625|20011022||
000016.SZ|19920327|||
000017.SZ|19920331|||
000018.SZ|19920616|20200107||
000019.SZ|19921012|||
000020.SZ|19920428|||
000021.SZ|19940202|||
000022.SZ|19930505|20181226||
000023.SZ|19930429|20240902||20240902
000024.SZ|19930607|20151230||
000025.SZ|19930621|||
000026.SZ|19930603|||
000027.SZ|19930903|||
000028.SZ|19930809|||
000029.SZ|19930915|||
000030.SZ|19930929|||
000031.SZ|19931008|||
000032.SZ|19931028|||
000033.SZ|19940103|20170707||
000034.SZ|19940509|||
000035.SZ|19940408|||
000036.SZ|19940617|||
000037.SZ|19940701|||
000038.SZ|19940808|20230712||20230713
000039.SZ|19940408|||
000040.SZ|19940808|||
000042.SZ|19940921|||
000043.SZ|19940928|20191216||
000045.SZ|19940815|||
000046.SZ|19940912|20240207||20240207
000047.SZ|19941021|20030530||
000048.SZ|19941101|||
000049.SZ|19950320|||
000050.SZ|19950315|||
000055.SZ|19960415|||
000056.SZ|19960708|||
000058.SZ|19961226|||
000059.SZ|19970130|||
000060.SZ|19970123|||
000061.SZ|19970110|||
000062.SZ|19970130|||
000063.SZ|19971118|||
000065.SZ|19980605|||
000066.SZ|19970626|||
000068.SZ|19970611|||
000069.SZ|19970910|||
000070.SZ|20000511|||
000078.SZ|19981218|||
000088.SZ|19970728|||
000089.SZ|19980420|||
000090.SZ|19990721|||
000096.SZ|20000724|||
000099.SZ|20000731|||
000100.SZ|20040130|||
000150.SZ|20000807|20230609||20230609
000151.SZ|20000906|||
000153.SZ|20000920|||
000155.SZ|20000926|||
000156.SZ|20000906|||
000157.SZ|20001012|||
000158.SZ|20000724|||
000159.SZ|20000926|||
000166.SZ|20150126|||
000301.SZ|20000529|||
000333.SZ|20130918|||
000338.SZ|20070430|||
000400.SZ|19970418|||
000401.SZ|19960614|||
000402.SZ|19960626|||
000403.SZ|19960628|||
000404.SZ|19960619|||
000405.SZ|19960620|20040319||
000406.SZ|19960628|20060421||
000407.SZ|19960703|||
000408.SZ|19960628|||
000409.SZ|19960627|||
000410.SZ|19960718|||
000411.SZ|19960716|||
000412.SZ|19960715|20030919||
000413.SZ|19960925|20241011||20241011
000415.SZ|19960716|||
000416.SZ|19960719|20240605||20240604
000417.SZ|19960812|||
000418.SZ|19970328|20190621||
000419.SZ|19960816|||
000420.SZ|19960802|||
000421.SZ|19960806|||
000422.SZ|19960815|||
000423.SZ|19960729|||
000425.SZ|19960828|||
000426.SZ|19960828|||
000428.SZ|19960808|||
000429.SZ|19980220|||
000430.SZ|19960829|||
000488.SZ|20001120|||
000498.SZ|19970609|||
000501.SZ|19921120|||
000502.SZ|19921123|20220627||20220627
000503.SZ|19921130|||
000504.SZ|19921208|||
000505.SZ|19921221|||
000506.SZ|19930312|||
000507.SZ|19930326|||
000508.SZ|19930430|19990712||
000509.SZ|19930507|||
000510.SZ|19930507|||
000511.SZ|19930518|20180718||
000513.SZ|19931028|||
000514.SZ|19930712|||
000515.SZ|19930712|20090506||
000516.SZ|19930809|||
000517.SZ|19930806|||
000518.SZ|19930908|||
000519.SZ|19931008|||
000520.SZ|19931025|||
000521.SZ|19931018|||
000522.SZ|19931108|20130426||
000523.SZ|19931108|||
000524.SZ|19931118|||
000525.SZ|19931028|||
000526.SZ|19931101|||
