test/kdr_py_test_1_true
    from        to    long$    short$    long#    short#     PNL     ret    long_ret    short_ret    hedge_ret    TVR      IR     STD       IC     DD    dd_start    dd_end    up_days    down_days
--------  --------  -------  --------  -------  --------  ------  ------  ----------  -----------  -----------  -----  ------  ------  -------  -----  ----------  --------  ---------  -----------
20130104  20131231    99160    -99160   1021.4    1329.1  -24069  -0.253       0.103       -0.356       -0.093  2.804  -0.131  0.0077  -0.0171  25.65    20130109  20131112        107          128
20140102  20141231   100000   -100000    986.7    1339.2    4878   0.050       0.604       -0.555        0.249  2.817   0.028  0.0072   0.0010  14.57    20140217  20140521        132          113
20150105  20151231   100000   -100000    965.8    1367.3  108738   1.114       1.565       -0.451        1.097  2.580   0.275  0.0162   0.0297  10.12    20150827  20150908        157           87
20160104  20161230   100000   -100000   1083.9    1543.3  133905   1.372       1.181        0.191        1.335  2.749   0.622  0.0088   0.0664   5.56    20160301  20160318        189           55
20170103  20171229   100000   -100000   1323.1    1719.4  147476   1.511       1.200        0.311        1.191  2.773   0.835  0.0072   0.0823   3.17    20171201  20171206        204           40
20180102  20181228   100000   -100000   1529.2    1831.1   46897   0.482      -0.278        0.761        0.109  2.831   0.282  0.0069   0.0204   3.65    20181115  20181218        141          102
20190102  20191231   100000   -100000   1572.7    2052.1   36397   0.373       0.347        0.026        0.080  2.818   0.239  0.0063   0.0182   3.20    20190409  20190417        148           96
20200102  20201231   100000   -100000   1673.9    2215.6   21681   0.223       0.261       -0.038        0.033  2.765   0.087  0.0102   0.0104  15.32    20200909  20201130        135          108
20210104  20211231   100000   -100000   1922.3    2432.5   18597   0.191       0.251       -0.060        0.090  2.849   0.089  0.0086   0.0077   7.32    20210727  20210908        130          113
20220104  20221230   100000   -100000   2121.2    2641.7  -17407  -0.180      -0.305        0.125       -0.094  2.836  -0.083  0.0087  -0.0100  25.04    20220214  20221229        113          129
20230103  20231229   100000   -100000   2351.7    2838.6  -15402  -0.159      -0.076       -0.083       -0.005  2.861  -0.054  0.0117  -0.0065  25.49    20230615  20231213        124          118
20240102  20241108   100000   -100000   2409.2    2932.9     803   0.010       0.076       -0.066       -0.134  2.765   0.002  0.0163  -0.0038  26.18    20240208  20240924         99          106
20130104  20241108    99930    -99930   1568.8    2007.9  462494   0.402       0.417       -0.015        0.329  2.788   0.156  0.0103   0.0170  50.42    20220214  20240924       1679         1195

[24-12-10 14:52:10.458] [2670322] [sup_pnl.py:54] [info] 
test/kdr_py_test_1_false
    from        to    long$    short$    long#    short#     PNL     ret    long_ret    short_ret    hedge_ret    TVR      IR     STD       IC     DD    dd_start    dd_end    up_days    down_days
--------  --------  -------  --------  -------  --------  ------  ------  ----------  -----------  -----------  -----  ------  ------  -------  -----  ----------  --------  ---------  -----------
20130104  20131231    99160    -99160   1066.8    1381.3  -28249  -0.297       0.094       -0.390       -0.102  2.804  -0.155  0.0077  -0.0194  29.04    20130109  20131112        100          135
20140102  20141231   100000   -100000   1080.4    1449.5    4406   0.045       0.594       -0.549        0.238  2.814   0.026  0.0070   0.0005  14.46    20140217  20140521        132          113
20150105  20151231   100000   -100000   1160.3    1564.0   50092   0.513       1.343       -0.829        0.875  2.576   0.101  0.0204   0.0224  21.81    20150827  20150916        144          100
20160104  20161230   100000   -100000   1213.5    1670.5  120605   1.236       1.123        0.113        1.277  2.786   0.456  0.0108   0.0627  11.99    20160301  20160318        182           62
20170103  20171229   100000   -100000   1433.4    1837.9  142508   1.460       1.155        0.305        1.146  2.780   0.805  0.0073   0.0812   3.39    20171201  20171212        203           41
20180102  20181228   100000   -100000   1612.0    1915.1   46480   0.478      -0.281        0.759        0.107  2.836   0.267  0.0072   0.0204   3.69    20181115  20181218        139          104
20190102  20191231   100000   -100000   1583.6    2064.3   35685   0.366       0.344        0.022        0.077  2.819   0.232  0.0063   0.0178   3.20    20190409  20190423        150           94
20200102  20201231   100000   -100000   1692.3    2236.7   20510   0.211       0.248       -0.037        0.020  2.765   0.083  0.0102   0.0097  15.25    20200909  20201130        136          107
20210104  20211231   100000   -100000   1954.3    2472.7   19247   0.198       0.266       -0.068        0.105  2.846   0.093  0.0085   0.0080   5.42    20210727  20210824        131          112
20220104  20221230   100000   -100000   2159.1    2690.2  -19216  -0.199      -0.332        0.134       -0.121  2.836  -0.092  0.0086  -0.0111  26.05    20220214  20221229        111          131
20230103  20231229   100000   -100000   2359.6    2848.7  -17022  -0.176      -0.085       -0.091       -0.014  2.861  -0.060  0.0118  -0.0070  26.89    20230615  20231213        124          118
20240102  20241108   100000   -100000   2416.1    2939.1   -1361  -0.017       0.054       -0.070       -0.156  2.766  -0.004  0.0165  -0.0040  26.92    20240208  20240924         99          106
20130104  20241108    99930    -99930   1633.9    2077.8  373685   0.325       0.383       -0.058        0.295  2.791   0.117  0.0111   0.0155  53.79    20220214  20240924       1651         1223
